date,value
2023-01-01,0.304717
2023-01-02,-1.039984
2023-01-03,0.750451
2023-01-04,0.940565
2023-01-05,-1.951035
2023-01-06,-1.30218
2023-01-07,0.12784
2023-01-08,-0.316243
2023-01-09,-0.016801
2023-01-10,-0.853044
2023-01-11,0.879398
2023-01-12,0.777792
2023-01-13,0.066031
2023-01-14,1.127241
2023-01-15,0.467509
2023-01-16,-0.859292
2023-01-17,0.368751
2023-01-18,-0.958883
2023-01-19,0.87845
2023-01-20,-0.049926
2023-01-21,-0.184862
2023-01-22,-0.68093
2023-01-23,1.222541
2023-01-24,-0.154529
2023-01-25,-0.428328
2023-01-26,-0.352134
2023-01-27,0.532309
2023-01-28,0.365444
2023-01-29,0.412733
2023-01-30,0.430821
2023-01-31,2.141648
2023-02-01,-0.406415
2023-02-02,-0.512243
2023-02-03,-0.813773
2023-02-04,0.615979
2023-02-05,1.128972
2023-02-06,-0.113947
2023-02-07,-0.840156
2023-02-08,-0.824481
2023-02-09,0.650593
2023-02-10,0.743254
2023-02-11,0.543154
2023-02-12,-0.66551
2023-02-13,0.232161
2023-02-14,0.116686
2023-02-15,0.218689
2023-02-16,0.871429
2023-02-17,0.223596
2023-02-18,0.678914
2023-02-19,0.067579
2023-02-20,0.289119
2023-02-21,0.631288
2023-02-22,-1.457156
2023-02-23,-0.319671
2023-02-24,-0.470373
2023-02-25,-0.638878
2023-02-26,-0.275142
2023-02-27,1.494941
2023-02-28,-0.865831
2023-03-01,0.968278
2023-03-02,-1.68287
2023-03-03,-0.334885
2023-03-04,0.162753
2023-03-05,0.586222
2023-03-06,0.711227
2023-03-07,0.793347
2023-03-08,-0.348725
2023-03-09,-0.462352
2023-03-10,0.857976
2023-03-11,-0.191304
2023-03-12,-1.275686
2023-03-13,-1.133287
2023-03-14,-0.919452
2023-03-15,0.497161
2023-03-16,0.142426
2023-03-17,0.690485
2023-03-18,-0.427253
2023-03-19,0.15854
2023-03-20,0.62559
2023-03-21,-0.309347
2023-03-22,0.456775
2023-03-23,-0.661926
2023-03-24,-0.363054
2023-03-25,-0.381738
2023-03-26,-1.19584
2023-03-27,0.486972
2023-03-28,-0.469402
2023-03-29,0.012494
2023-03-30,0.480747
2023-03-31,0.446531
2023-04-01,0.665385
2023-04-02,-0.098485
2023-04-03,-0.423298
2023-04-04,-0.079718
2023-04-05,-1.687334
2023-04-06,-1.447112
2023-04-07,-1.3227
2023-04-08,-0.997247
2023-04-09,0.399774
2023-04-10,-0.905479
